sample_index,recorded_at_iso,d1_epoch_ms,d1_fsr1,d1_fsr2,d1_fsr3,d1_fsr4,d1_fsr5,d1_fsr6,d2_epoch_ms,d2_fsr1,d2_fsr2,d2_fsr3,d2_fsr4,d2_fsr5,d2_fsr6
214,2026-04-02T19:28:14Z,1775158093223,0,0,0,0,0,0,1775158093630,0,0,0,0,0,0
215,2026-04-02T19:28:14Z,1775158093226,0,0,0,0,0,0,1775158093633,0,0,0,0,0,0
216,2026-04-02T19:28:14Z,1775158093226,0,0,0,0,0,0,1775158093633,0,0,0,0,0,0
217,2026-04-02T19:28:14Z,1775158093229,0,0,0,0,0,0,1775158093636,0,0,0,0,0,0
218,2026-04-02T19:28:14Z,1775158093231,0,0,0,0,0,0,1775158093636,0,0,0,0,0,0
219,2026-04-02T19:28:14Z,1775158093231,0,0,0,0,0,0,1775158093640,0,0,0,0,0,0
220,2026-04-02T19:28:14Z,1775158093235,0,0,0,0,0,0,1775158093643,0,0,0,0,0,0
221,2026-04-02T19:28:14Z,1775158093235,0,0,0,0,0,0,1775158093643,0,0,0,0,0,0
222,2026-04-02T19:28:14Z,1775158093238,0,0,0,0,0,0,1775158093646,0,0,0,0,0,0
223,2026-04-02T19:28:14Z,1775158093241,0,0,0,0,0,0,1775158093646,0,0,0,0,0,0
224,2026-04-02T19:28:14Z,1775158093244,0,0,0,0,0,0,1775158093652,0,0,0,0,0,0
225,2026-04-02T19:28:14Z,1775158093244,0,0,0,0,0,0,1775158093652,0,0,0,0,0,0
226,2026-04-02T19:28:14Z,1775158093247,0,0,0,0,0,0,1775158093652,0,0,0,0,0,0
227,2026-04-02T19:28:14Z,1775158093250,0,0,0,0,0,0,1775158093657,0,0,0,0,0,0
228,2026-04-02T19:28:14Z,1775158093250,0,0,0,0,0,0,1775158093657,0,0,0,0,0,0
229,2026-04-02T19:28:14Z,1775158093253,0,0,0,0,0,0,1775158093657,0,0,0,0,0,0
230,2026-04-02T19:28:14Z,1775158093256,0,0,0,0,0,0,1775158093663,0,0,0,0,0,0
231,2026-04-02T19:28:14Z,1775158093256,0,0,0,0,0,0,1775158093663,0,0,0,0,0,0
232,2026-04-02T19:28:14Z,1775158093258,0,0,0,0,0,0,1775158093663,0,0,0,0,0,0
233,2026-04-02T19:28:14Z,1775158093261,0,0,0,0,0,0,1775158093667,0,0,0,0,0,0
